observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs1_6,q_{air} VIMS,4,-0.0127371,0.0127371,0.0214488
mod_obs1_7,Total Porosity,4,-7716.21,8129.84,15988.6
mod_obs1_7,Min. Vapor Porosity,4,3130.63,3130.63,4071.9
mod_obs1_7,FOC,4,-7688.16,7688.16,15376
mod_obs1_7,D_{air},4,0.728007,0.728007,1.45541
mod_obs1_7,Pore Size Dist. Coeff. ,4,8.33E-07,8.33E-07,6.03E-07
mod_obs1_7,Vapor Pressure,4,-5.88E-08,5.88E-08,1.17E-07
mod_obs1_7,Soil Source Top Conc. ,4,-4.71E-10,4.71E-10,4.40E-10
mod_obs1_7,Soil Source Bottom Conc. ,4,-5.64E-10,5.64E-10,5.13E-10
mod_obs1_7,Min. Soil Moisture,4,-0.0174145,0.0174145,0.0321861
mod_obs1_7,q_{air} VIMS,4,-0.00280403,0.00280403,0.00472392
mod_obs2_7,Total Porosity,4,-10764.3,10765.3,20826.7
mod_obs2_7,Min. Vapor Porosity,4,8008.53,8008.53,10661.1
mod_obs2_7,FOC,4,-9477.03,9477.03,18953.3
mod_obs2_7,D_{air},4,1.12332,1.12332,2.24579
mod_obs2_7,Pore Size Dist. Coeff. ,4,1.43E-06,1.43E-06,1.19E-06
mod_obs2_7,Vapor Pressure,4,-7.57E-08,7.57E-08,1.50E-07
mod_obs2_7,Soil Source Top Conc. ,4,-6.70E-10,6.70E-10,5.30E-10
mod_obs2_7,Soil Source Bottom Conc. ,4,-8.04E-10,8.04E-10,6.10E-10
mod_obs2_7,Min. Soil Moisture,4,-0.0342234,0.0342234,0.0653481
mod_obs2_7,q_{air} VIMS,4,-0.00540984,0.00540984,0.00963461
mod_obs3_1,Total Porosity,4,-4.69E+06,4.69E+06,6.02E+06
mod_obs3_1,Min. Vapor Porosity,4,4.77E+06,4.93E+06,9.76E+06
mod_obs3_1,FOC,4,-2.00E+06,2.00E+06,2.92E+06
mod_obs3_1,D_{air},4,-23218,23640.1,47000.3
mod_obs3_1,Pore Size Dist. Coeff. ,4,-66.7846,66.8065,119.203
mod_obs3_1,Vapor Pressure,4,1.05748,1.0613,2.11928
mod_obs3_1,Soil Source Top Conc. ,4,136.024,136.024,156.986
mod_obs3_1,Soil Source Bottom Conc. ,4,0.702885,0.702885,1.36173
mod_obs3_1,Min. Soil Moisture,4,124.524,146.043,278.174
mod_obs3_1,q_{air} VIMS,4,-6323.34,6323.34,12165.1
mod_obs3_2,Total Porosity,4,-7.24E+07,7.24E+07,1.11E+08
mod_obs3_2,Min. Vapor Porosity,4,7.93E+07,8.04E+07,1.60E+08
mod_obs3_2,FOC,4,-1.79E+07,1.79E+07,2.56E+07
mod_obs3_2,D_{air},4,-66227,67309.4,133901
mod_obs3_2,Pore Size Dist. Coeff. ,4,-52.909,65.9784,123.849
mod_obs3_2,Vapor Pressure,4,0.998065,1.01397,2.01736
mod_obs3_2,Soil Source Top Conc. ,4,378.832,378.832,437.202
mod_obs3_2,Soil Source Bottom Conc. ,4,1.91245,1.91245,3.70487
mod_obs3_2,Min. Soil Moisture,4,78.3195,148.762,255.295
mod_obs3_2,q_{air} VIMS,4,-17599.1,17599.1,33878
mod_obs3_3,Total Porosity,4,-5.41E+06,5.41E+06,7.74E+06
mod_obs3_3,Min. Vapor Porosity,4,3.20E+06,3.20E+06,4.78E+06
mod_obs3_3,FOC,4,-3.23E+06,3.23E+06,5.58E+06
mod_obs3_3,D_{air},4,-9737.75,10084.8,19940.5
mod_obs3_3,Pore Size Dist. Coeff. ,4,-108.354,108.375,181.227
mod_obs3_3,Vapor Pressure,4,1.64658,1.64974,3.29292
mod_obs3_3,Soil Source Top Conc. ,4,94.1331,94.1331,108.646
mod_obs3_3,Soil Source Bottom Conc. ,4,0.510985,0.510985,0.990092
mod_obs3_3,Min. Soil Moisture,4,39.9049,395.082,630.904
mod_obs3_3,q_{air} VIMS,4,-4409.29,4409.29,8400.28
mod_obs3_4,Total Porosity,4,-144233,144233,180544
mod_obs3_4,Min. Vapor Porosity,4,165794,167056,333273
mod_obs3_4,FOC,4,-52684.6,52684.6,65323.3
mod_obs3_4,D_{air},4,-348.099,353.97,704.045
mod_obs3_4,Pore Size Dist. Coeff. ,4,-0.452035,0.465598,0.922236
mod_obs3_4,Vapor Pressure,4,0.00780281,0.00787853,0.0157067
mod_obs3_4,Soil Source Top Conc. ,4,2.00687,2.00687,2.3161
mod_obs3_4,Soil Source Bottom Conc. ,4,0.0101974,0.0101974,0.019755
mod_obs3_4,Min. Soil Moisture,4,0.745189,1.13685,2.02617
mod_obs3_4,q_{air} VIMS,4,-93.2505,93.2505,179.47
mod_obs3_5,Total Porosity,4,-67046.5,120094,210839
mod_obs3_5,Min. Vapor Porosity,4,310942,310942,548480
mod_obs3_5,FOC,4,-214254,214254,408970
mod_obs3_5,D_{air},4,16204.7,16204.7,32083.6
mod_obs3_5,Pore Size Dist. Coeff. ,4,-87.8132,87.8207,118.245
mod_obs3_5,Vapor Pressure,4,1.51267,1.51342,3.01865
mod_obs3_5,Soil Source Top Conc. ,4,3.93775,3.93775,4.74034
mod_obs3_5,Soil Source Bottom Conc. ,4,0.0980442,0.0980442,0.19106
mod_obs3_5,Min. Soil Moisture,4,-742.752,1208.79,2145.24
mod_obs3_5,q_{air} VIMS,4,-347.068,347.068,346.548
mod_obs3_6,Total Porosity,4,-41624.2,41624.2,48456.5
mod_obs3_6,Min. Vapor Porosity,4,65141.3,65141.3,89116.8
mod_obs3_6,FOC,4,-36441.9,36441.9,72876.8
mod_obs3_6,D_{air},4,5.15749,5.15749,10.3111
mod_obs3_6,Pore Size Dist. Coeff. ,4,6.55E-06,6.55E-06,5.42E-06
mod_obs3_6,Vapor Pressure,4,-3.45E-07,3.45E-07,6.82E-07
mod_obs3_6,Soil Source Top Conc. ,4,-3.06E-09,3.06E-09,2.41E-09
mod_obs3_6,Soil Source Bottom Conc. ,4,-3.69E-09,3.69E-09,2.79E-09
mod_obs3_6,Min. Soil Moisture,4,-0.157746,0.157746,0.301273
mod_obs3_6,q_{air} VIMS,4,-0.02493,0.02493,0.0444217
mod_obs3_7,Total Porosity,4,-12741,12741,17388
mod_obs3_7,Min. Vapor Porosity,4,13422.7,13422.7,18071.2
mod_obs3_7,FOC,4,-9765.8,9765.8,19530.1
mod_obs3_7,D_{air},4,1.13111,1.13111,2.26136
mod_obs3_7,Pore Size Dist. Coeff. ,4,1.44E-06,1.44E-06,1.19E-06
mod_obs3_7,Vapor Pressure,4,-7.60E-08,7.60E-08,1.50E-07
mod_obs3_7,Soil Source Top Conc. ,4,-6.71E-10,6.71E-10,5.29E-10
mod_obs3_7,Soil Source Bottom Conc. ,4,-8.08E-10,8.08E-10,6.12E-10
mod_obs3_7,Min. Soil Moisture,4,-0.0345322,0.0345322,0.0659496
mod_obs3_7,q_{air} VIMS,4,-0.00545783,0.00545783,0.00972378
mod_obs4_1,Total Porosity,4,-3.91E+06,3.91E+06,5.08E+06
mod_obs4_1,Min. Vapor Porosity,4,3.08E+06,3.25E+06,6.39E+06
mod_obs4_1,FOC,4,-2.03E+06,2.03E+06,3.28E+06
mod_obs4_1,D_{air},4,-23386.2,23811.4,47340.8
mod_obs4_1,Pore Size Dist. Coeff. ,4,-70.041,70.0625,124.396
mod_obs4_1,Vapor Pressure,4,1.10549,1.10925,2.21503
mod_obs4_1,Soil Source Top Conc. ,4,135.933,135.933,156.881
mod_obs4_1,Soil Source Bottom Conc. ,4,0.706784,0.706784,1.36937
mod_obs4_1,Min. Soil Moisture,4,131.469,151.955,290.619
mod_obs4_1,q_{air} VIMS,4,-6320.03,6320.03,12157
mod_obs4_2,Total Porosity,4,-5.54E+07,5.54E+07,8.57E+07
